Item No.,Section,Description,Unit,Bill Qty,Unit Rate (ETB),Bill Amount (ETB),Executed Qty,Executed Amount (ETB),Completion %,Remarks
b,B SUPER STRUCTURE,On Staircase,m3,35.80,"14,710.00","526,618.00",0.00,0.00,0.0%,
1.3,B SUPER STRUCTURE,"Provide, cut and fix in position sawn zigba wood or  steel  formwork which ever appropriate",,,,,,,,
a,B SUPER STRUCTURE,To beam and slab,m2,"3,010.89","1,342.00","4,040,614.38",0.00,0.00,0.0%,
b,B SUPER STRUCTURE,To Column and Shear wall,m2,"1,479.81","1,342.00","1,985,905.02",0.00,0.00,0.0%,
c,B SUPER STRUCTURE,To Staircase,m2,272.16,"1,342.00","365,238.72",0.00,0.00,0.0%,
1.4,B SUPER STRUCTURE,Reinforcement Bar,,,,,,,,
,B SUPER STRUCTURE,Use grade 75 (S 500) based on ASTM A615 (Shall have minimum yield Strength of 500mPA) for re-bar greater than 14mm,,,,,,,,
a,B SUPER STRUCTURE,Dia 6 mm deformed bar,Kg,,223.56,,0.00,0.00,0.0%,
b,B SUPER STRUCTURE,Dia 8 mm deformed bar,Kg,"24,885.52",206.99,"5,151,053.78",0.00,0.00,0.0%,
c,B SUPER STRUCTURE,Dia 10 mm deformed bar,Kg,"30,126.34",206.99,"6,235,851.12",0.00,0.00,0.0%,
d,B SUPER STRUCTURE,Dia 12 mm deformed bar,Kg,"13,375.00",206.99,"2,768,491.25",0.00,0.00,0.0%,
e,B SUPER STRUCTURE,Dia 14 mm deformed bar,Kg,"1,493.10",206.99,"309,056.77",0.00,0.00,0.0%,
f,B SUPER STRUCTURE,Dia 16 mm deformed bar,Kg,"4,945.70",206.99,"1,023,710.44",0.00,0.00,0.0%,
g,B SUPER STRUCTURE,Dia 20 mm deformed bar,Kg,"27,403.33",206.99,"5,672,215.28",0.00,0.00,0.0%,
h,B SUPER STRUCTURE,Dia 24 mm deformed bar,Kg,"8,575.18",206.99,"1,774,976.51",0.00,0.00,0.0%,
,,,,,,,,,,
,,GRAND TOTAL,,,,"66,858,678.58",,"942,173.65",1.4%,
